date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:29	57455/57455	---M--	200	added ('OK')	text/html	date:Tue,%2018%20Apr%202023%2007:04:29%20GMT	https://www.likwidasset.com/Marketplace	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/Marketplace.html	(from )
15:04:29	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Apr%202023%2007:04:30%20GMT	https://www.likwidasset.com/robots.txt		(from )
15:04:29	2705/2705	---M--	200	added ('OK')	image/png	etag:%220bfb7c8279d91:0%22	https://www.likwidasset.com/content/images/Favicon/likwid-apple-icon-57x57.png?v=1.2	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/content/images/Favicon/likwid-apple-icon-57x577839.png	(from https://www.likwidasset.com/Marketplace)
15:04:30	3029/3029	---M--	200	added ('OK')	image/png	etag:%220bfb7c8279d91:0%22	https://www.likwidasset.com/content/images/Favicon/likwid-apple-icon-60x60.png?v=1.2	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/content/images/Favicon/likwid-apple-icon-60x607839.png	(from https://www.likwidasset.com/Marketplace)
15:04:30	3932/3932	---M--	200	added ('OK')	image/png	etag:%220bfb7c8279d91:0%22	https://www.likwidasset.com/content/images/Favicon/likwid-apple-icon-72x72.png?v=1.2	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/content/images/Favicon/likwid-apple-icon-72x727839.png	(from https://www.likwidasset.com/Marketplace)
15:04:30	4221/4221	---M--	200	added ('OK')	image/png	etag:%220bfb7c8279d91:0%22	https://www.likwidasset.com/content/images/Favicon/likwid-apple-icon-76x76.png?v=1.2	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/content/images/Favicon/likwid-apple-icon-76x767839.png	(from https://www.likwidasset.com/Marketplace)
15:04:30	7258/7258	---M--	200	added ('OK')	image/png	etag:%220bfb7c8279d91:0%22	https://www.likwidasset.com/content/images/Favicon/likwid-apple-icon-114x114.png?v=1.2	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/content/images/Favicon/likwid-apple-icon-114x1147839.png	(from https://www.likwidasset.com/Marketplace)
15:04:31	7904/7904	---M--	200	added ('OK')	image/png	etag:%220bfb7c8279d91:0%22	https://www.likwidasset.com/content/images/Favicon/likwid-apple-icon-120x120.png?v=1.2	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/content/images/Favicon/likwid-apple-icon-120x1207839.png	(from https://www.likwidasset.com/Marketplace)
15:04:31	9689/9689	---M--	200	added ('OK')	image/png	etag:%220bfb7c8279d91:0%22	https://www.likwidasset.com/content/images/Favicon/likwid-apple-icon-144x144.png?v=1.2	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/content/images/Favicon/likwid-apple-icon-144x1447839.png	(from https://www.likwidasset.com/Marketplace)
15:04:31	11154/11154	---M--	200	added ('OK')	image/png	etag:%220bfb7c8279d91:0%22	https://www.likwidasset.com/content/images/Favicon/likwid-apple-icon-152x152.png?v=1.2	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/content/images/Favicon/likwid-apple-icon-152x1527839.png	(from https://www.likwidasset.com/Marketplace)
15:04:31	14196/14196	---M--	200	added ('OK')	image/png	etag:%220bfb7c8279d91:0%22	https://www.likwidasset.com/content/images/Favicon/likwid-apple-icon-180x180.png?v=1.2	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/content/images/Favicon/likwid-apple-icon-180x1807839.png	(from https://www.likwidasset.com/Marketplace)
15:04:31	41515/41515	---M--	200	added ('OK')	image/png	etag:%220bfb7c8279d91:0%22	https://www.likwidasset.com/content/images/Favicon/likwid-favicon1.png?v=1.2	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/content/images/Favicon/likwid-favicon17839.png	(from https://www.likwidasset.com/Marketplace)
15:04:32	760/760	---M--	200	added ('OK')	application/json	etag:%220bfb7c8279d91:0%22	https://www.likwidasset.com/content/images/Favicon/manifest.json	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/content/images/Favicon/manifest.json	(from https://www.likwidasset.com/Marketplace)
15:04:32	8530/8530	---M--	200	added ('OK')	image/png	etag:%220bfb7c8279d91:0%22	https://www.likwidasset.com/content/images/Favicon/likwid-ms-icon-144x144.png?v=1.2	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/content/images/Favicon/likwid-ms-icon-144x1447839.png	(from https://www.likwidasset.com/Marketplace)
15:04:32	109663/109663	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2018%20Apr%202023%2007:04:33%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/csbackup4/Desktop/clone/Clone/connect.facebook.net/en_US/fbevents.js	(from https://www.likwidasset.com/Marketplace)
15:04:32	81641/81641	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Apr%202023%2007:04:33%20GMT	https://www.likwidasset.com/Content/adminLTE?v=MsKR7QZgw3kk2xEEQ7W9B66W2GmnsUvGY_Jk9V9GX-w1	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/Content/adminLTE08e6.css	(from https://www.likwidasset.com/Marketplace)
15:04:33	2898/2898	---M--	200	added ('OK')	text/css	etag:%2274609dca279d91:0%22	https://www.likwidasset.com/Content/skins/skin-black.min.css	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/Content/skins/skin-black.min.css	(from https://www.likwidasset.com/Marketplace)
15:04:33	57009/57009	---M--	200	added ('OK')	text/html	date:Tue,%2018%20Apr%202023%2007:04:33%20GMT	https://www.likwidasset.com/	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/index.html	(from https://www.likwidasset.com/Marketplace)
15:04:33	4295/4295	---M--	200	added ('OK')	text/css	etag:%220ece8c9279d91:0%22	https://www.likwidasset.com/Content/nouislider.min.css	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/Content/nouislider.min.css	(from https://www.likwidasset.com/Marketplace)
15:04:33	122546/122546	---M--	200	added ('OK')	text/css	etag:%22b69214c8279d91:0%22	https://www.likwidasset.com/Content/bootstrap.min.css	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/Content/bootstrap.min.css	(from https://www.likwidasset.com/Marketplace)
15:04:34	7799/7799	---M--	200	added ('OK')	text/css	etag:%225778ec8279d91:0%22	https://www.likwidasset.com/Content/bootstrap-select.css	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/Content/bootstrap-select.css	(from https://www.likwidasset.com/Marketplace)
15:04:34	339010/339010	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Apr%202023%2007:04:34%20GMT	https://www.likwidasset.com/Content/main?v=dNaM382lebMsfAycBPMk54HjyTWOvHhumj9eelGPb901	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/Content/main4fb1.css	(from https://www.likwidasset.com/Marketplace)
15:04:34	102856/102856	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Apr%202023%2007:04:34%20GMT	https://www.likwidasset.com/Content/sitecss?v=VlRvucKMhq9rV1ahnEuO3IIy87zj3tJS6d_qCOMvNpE1	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/Content/sitecss100b.css	(from https://www.likwidasset.com/Marketplace)
15:04:34	60309/60309	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Apr%202023%2007:04:35%20GMT	https://www.likwidasset.com/Content/focss?v=ODHXMY2CsJVNRd-txXQWB_AIC90kvMyS3AmaAVKHuT01	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/Content/focssa8b8.css	(from https://www.likwidasset.com/Marketplace)
15:04:34	14114/14114	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Apr%202023%2007:04:35%20GMT	https://www.likwidasset.com/Content/sellandstaycss?v=x6VWeZmrDCzU2PY5abXFlKsM9Kw006-c-QeMmf1Vero1	C:/Users/csbackup4/Desktop/clone/Clone/www.likwidasset.com/Content/sellandstaycss2c8c.css	(from https://www.likwidasset.com/Marketplace)
